Customer ID,Age,Gender,Location,Income,Products Purchased/Interested In
1,62,Male,Rural,60465,Mortgage
2,65,Male,Rural,39248,Savings Account
3,71,Female,Suburban,51984,Investment Products
4,18,Male,Rural,81525,Savings Account
5,21,Female,Rural,60046,Savings Account
6,77,Female,Rural,32754,Mortgage
7,21,Female,Urban,53213,Investment Products
8,57,Male,Urban,30947,Savings Account
9,27,Female,Suburban,82170,Credit Card
10,37,Male,Urban,38768,Savings Account
11,39,Male,Suburban,54145,Credit Card
12,68,Male,Urban,56154,Credit Card
13,54,Male,Suburban,53185,Credit Card
14,41,Male,Suburban,10829,Mortgage
15,24,Female,Urban,21071,Investment Products
16,42,Male,Urban,40952,Savings Account
17,42,Male,Rural,56388,Mortgage
18,30,Male,Rural,47244,Investment Products
19,76,Female,Suburban,30857,Credit Card
20,19,Female,Suburban,23031,Investment Products
21,56,Male,Suburban,41968,Savings Account
22,57,Female,Urban,40630,Mortgage
23,41,Male,Urban,60256,Mortgage
24,64,Female,Rural,43473,Credit Card
25,42,Male,Urban,62054,Credit Card
26,35,Female,Suburban,38107,Credit Card
27,55,Female,Rural,44880,Savings Account
28,43,Male,Urban,43039,Investment Products
29,31,Female,Suburban,34352,Mortgage
30,26,Male,Urban,62502,Credit Card
31,27,Female,Urban,33728,Mortgage
32,38,Male,Urban,39567,Credit Card
33,69,Male,Suburban,48537,Investment Products
34,34,Female,Suburban,24052,Mortgage
35,69,Male,Urban,43501,Investment Products
36,23,Male,Suburban,35773,Credit Card
37,80,Male,Urban,42236,Mortgage
38,33,Female,Rural,48801,Savings Account
39,65,Male,Suburban,34001,Savings Account
40,18,Female,Urban,45598,Savings Account
41,36,Male,Urban,76173,Investment Products
42,53,Male,Urban,49484,Investment Products
43,42,Male,Rural,72905,Credit Card
44,67,Female,Suburban,56929,Credit Card
45,69,Male,Urban,65483,Mortgage
46,47,Male,Urban,34510,Mortgage
47,37,Female,Urban,52098,Investment Products
48,37,Female,Suburban,52678,Savings Account
49,32,Female,Rural,37747,Credit Card
50,57,Male,Rural,33543,Credit Card
51,50,Female,Urban,20194,Investment Products
52,19,Male,Urban,79922,Investment Products
53,27,Female,Suburban,30551,Credit Card
54,75,Female,Urban,76924,Investment Products
55,50,Female,Rural,40650,Credit Card
56,49,Female,Suburban,32750,Savings Account
57,28,Female,Suburban,62450,Credit Card
58,70,Male,Urban,37376,Credit Card
59,41,Male,Rural,61369,Savings Account
60,53,Female,Suburban,43343,Savings Account
61,80,Male,Suburban,59608,Mortgage
62,29,Female,Urban,30636,Savings Account
63,68,Male,Rural,66627,Investment Products
64,73,Male,Rural,59759,Mortgage
65,46,Female,Suburban,31606,Savings Account
66,52,Female,Rural,102858,Savings Account
67,18,Male,Urban,60802,Credit Card
68,18,Male,Urban,95809,Credit Card
69,54,Male,Suburban,82005,Investment Products
70,71,Female,Suburban,46223,Savings Account
71,23,Female,Rural,41754,Credit Card
72,56,Male,Urban,41930,Investment Products
73,58,Male,Rural,13399,Mortgage
74,70,Male,Rural,36083,Savings Account
75,35,Male,Suburban,54935,Mortgage
76,33,Male,Urban,80519,Savings Account
77,22,Male,Urban,34544,Savings Account
78,59,Female,Rural,67641,Savings Account
79,60,Female,Urban,24948,Savings Account
80,76,Female,Urban,38273,Savings Account
81,49,Female,Rural,40847,Investment Products
82,74,Female,Suburban,57436,Credit Card
83,19,Female,Suburban,59146,Mortgage
84,19,Female,Suburban,69246,Savings Account
85,57,Female,Rural,65416,Credit Card
86,59,Male,Urban,54863,Savings Account
87,75,Male,Rural,57807,Savings Account
88,53,Male,Rural,81770,Mortgage
89,56,Male,Suburban,39781,Savings Account
90,73,Male,Urban,65494,Investment Products
91,29,Male,Suburban,13837,Mortgage
92,64,Male,Urban,58226,Investment Products
93,36,Female,Urban,40335,Savings Account
94,45,Male,Suburban,50051,Credit Card
95,18,Female,Suburban,70801,Investment Products
96,32,Male,Rural,53292,Savings Account
97,53,Female,Urban,67703,Investment Products
98,71,Male,Urban,79475,Credit Card
99,30,Female,Urban,57781,Credit Card
100,75,Female,Urban,73420,Credit Card
101,60,Male,Urban,43468,Credit Card
102,38,Female,Rural,49835,Savings Account
103,29,Female,Urban,39547,Savings Account
104,22,Male,Rural,70859,Credit Card
105,24,Female,Suburban,58281,Investment Products
106,22,Male,Rural,39855,Credit Card
107,65,Male,Rural,53093,Mortgage
108,70,Male,Rural,70831,Savings Account
109,21,Female,Suburban,49214,Mortgage
110,30,Female,Urban,31021,Investment Products
111,54,Male,Rural,52638,Credit Card
112,70,Male,Suburban,10388,Mortgage
113,58,Female,Rural,65375,Mortgage
114,32,Male,Rural,41573,Credit Card
115,33,Male,Suburban,40613,Mortgage
116,38,Female,Rural,67513,Mortgage
117,53,Male,Rural,22696,Savings Account
118,76,Female,Urban,88941,Credit Card
119,41,Female,Suburban,40395,Savings Account
120,33,Male,Rural,39534,Savings Account
121,31,Male,Suburban,70424,Credit Card
122,71,Female,Suburban,64173,Mortgage
123,39,Female,Urban,99024,Credit Card
124,66,Female,Urban,45775,Credit Card
125,67,Male,Urban,47591,Credit Card
126,23,Male,Rural,20413,Credit Card
127,59,Female,Rural,43357,Mortgage
128,53,Male,Rural,35571,Savings Account
129,18,Male,Rural,41024,Mortgage
130,49,Female,Rural,15116,Investment Products
131,23,Female,Rural,83212,Savings Account
132,48,Male,Suburban,21667,Credit Card
133,18,Male,Suburban,-6044,Mortgage
134,67,Male,Urban,26231,Credit Card
135,68,Male,Rural,37923,Credit Card
136,54,Female,Suburban,27008,Credit Card
137,52,Female,Urban,71966,Mortgage
138,66,Female,Urban,47243,Investment Products
139,47,Female,Urban,50507,Credit Card
140,21,Male,Urban,62207,Savings Account
141,52,Male,Suburban,55720,Investment Products
142,60,Female,Suburban,69571,Credit Card
